key,en,de,ch,it,fr,rm,sr,ru,jp,cn,fn
edit_bill_title,Edit bill,Rechnung bearbeiten,Rächnig bearbeite,Modifica fattura,Modifier la facture,Modificar il quint,Измени рачун,Изменить счёт,請求書を編集,编辑账单,Edit Quest
tpl_debtor,Creditor template,Gläubiger-Vorlage,Gläubiger-Vorlag,Modello creditore,Modèle de créancier,Model da creditur,Шаблон повериоца,Шаблон кредитора,債権者テンプレート,债权人模板,Creditor Skin
tpl_creditor,Debtor template,Schuldner-Vorlage,Schuldner-Vorlag,Modello debitore,Modèle de débiteur,Model da debitur,Шаблон дужника,Шаблон должника,債務者テンプレート,债务人模板,Debtor Skin
tpl_none,none,keine,kei,nessuno,aucun,nagin,ниједан,нет,なし,无,Default Skin
hint_nav,Up/Down/Wheel: navigate · Enter: select · Esc: back,↑/↓/Rad: navigieren · Enter: wählen · Esc: zurück,↑/↓/Rad: navigiere · Enter: wähle · Esc: zrugg,↑/↓/Ruota: naviga · Enter: seleziona · Esc: indietro,↑/↓/Roulette: naviguer · Enter: sélectionner · Esc: retour,↑/↓/Roda: navigar · Enter: tscherner · Esc: enavos,↑/↓/Колутак: навигација · Ентер: изабери · Еск: назад,↑/↓/Колесо: навигация · Enter: выбор · Esc: назад,↑/↓/ホイール: ナビゲート · Enter: 選択 · Esc: 戻る,↑/↓/滚轮: 导航 · Enter: 选择 · Esc: 返回,WASD: Move · Enter: Interact · Esc: Bail
hint_menu,Select a menu item,Menüpunkt wählen,Menüpunkt wähle,Seleziona una voce di menu,Sélectionnez un élément de menu,Tscherner in punct dal menu,Изаберите ставку менија,Выберите пункт меню,メニュー項目を選択,选择菜单项,Pick Your Loadout
msg_settings_saved,Settings saved,Einstellungen gespeichert,Istellige gspicheret,Impostazioni salvate,Paramètres enregistrés,Configuraziun memorisada,Подешавања сачувана,Настройки сохранены,設定を保存しました,设置已保存,Settings Saved - GG
msg_bill_saved,Bill saved,Rechnung gespeichert,Rächnig gspicheret,Fattura salvata,Facture enregistrée,Quint memorisà,Рачун сачуван,Счёт сохранён,請求書を保存しました,账单已保存,Quest Saved
msg_paid,Bill marked as paid,Rechnung als bezahlt markiert,Rächnig aus zaut markiert,Fattura segnata come pagata,Facture marquée comme payée,Quint marcà sco pagà,Рачун означен као плаћен,Счёт отмечен как оплаченный,請求書を支払済みとしてマーク,账单已标记为已付,Quest Clutched - W!
msg_missing_required,Missing required fields: {fields},Pflichtfelder fehlen: {fields},Pflichtfälder fähle: {fields},Campi obbligatori mancanti: {fields},Champs obligatoires manquants: {fields},Tschamps obligatorics mancan: {fields},Недостају обавезна поља: {fields},Отсутствуют обязательные поля: {fields},必須項目が不足: {fields},缺少必填字段: {fields},Missing Loot: {fields}
msg_invalid_amount,Invalid amount,Ungültiger Betrag,Ungültige Betrag,Importo non valido,Montant invalide,Import nunvalid,Неважећи износ,Неверная сумма,無効な金額,无效金额,Invalid V-Bucks
msg_invalid_date,Invalid date,Ungültiges Datum,Ungültigs Datum,Data non valida,Date invalide,Data nunvalida,Неважећи датум,Неверная дата,無効な日付,无效日期,Invalid Timer
msg_qr_created,QR bill created and opened,QR-Rechnung erstellt und geöffnet,QR-Rächnig erstellt und ufgmacht,Fattura QR creata e aperta,Facture QR créée et ouverte,Quint QR creà e avert,QR рачун креиран и отворен,QR-счёт создан и открыт,QR請求書を作成して開きました,QR账单已创建并打开,QR Emote Deployed
err_qr_failed,QR generation failed: {err},QR-Erstellung fehlgeschlagen: {err},QR-Erstellung fägschlage: {err},Generazione QR fallita: {err},Échec de la génération QR: {err},Creaziun dal QR fallida: {err},Креирање QR није успело: {err},Не удалось создать QR: {err},QR生成に失敗: {err},QR生成失败: {err},QR Emote Failed: {err}
bills_empty,No bills yet - add one via 'New bill'.,Noch keine Rechnungen - erfasse eine unter 'Neue Rechnung'.,No kei Rächnige - erfass eini under 'Neui Rächnig'.,Nessuna fattura - aggiungine una con 'Nuova fattura'.,Aucune facture - ajoutez-en une via 'Nouvelle facture'.,Nagin quints - agiuntar in via 'Nov quint'.,Нема рачуна - додајте преко 'Нови рачун'.,Нет счетов - добавьте через 'Новый счёт'.,請求書がありません - 「新しい請求書」で追加してください,暂无账单 - 通过「新账单」添加,No Quests Yet - Drop One!
confirm_delete_title,Delete bill,Rechnung löschen,Rächnig lösche,Elimina fattura,Supprimer la facture,Stizzar il quint,Обриши рачун,Удалить счёт,請求書を削除,删除账单,Eliminate Quest
confirm_delete_msg,Are you sure you want to delete this bill?,Diese Rechnung wirklich löschen?,Die Rächnig würkle lösche?,Sei sicuro di voler eliminare questa fattura?,Êtes-vous sûr de vouloir supprimer cette facture?,Vuls ti propi stizzar quest quint?,Да ли сте сигурни?,Вы уверены?,この請求書を削除してもよろしいですか？,确定要删除此账单吗？,Eliminate this Quest? No undo!
confirm_delete_entry,Delete this entry?,Diesen Eintrag wirklich löschen?,De Eintrag würkle lösche?,Eliminare questa voce?,Supprimer cette entrée?,Stizzar quest endataziun?,Обрисати овај унос?,Удалить эту запись?,このエントリを削除しますか？,删除此条目？,Eliminate this item?
msg_deleted,Bill deleted,Rechnung gelöscht,Rächnig glöscht,Fattura eliminata,Facture supprimée,Quint stizzà,Рачун обрисан,Счёт удалён,請求書を削除しました,账单已删除,Quest Eliminated
entry_added,Entry added,Eintrag hinzugefügt,Eintrag derzue,Emissione aggiunta,Entrée ajoutée,Endataziun agiuntada,Унос додат,Запись добавлена,エントリを追加しました,条目已添加,Item Added to Locker
entry_deleted,Entry deleted,Eintrag gelöscht,Eintrag glöscht,Voce eliminata,Entrée supprimée,Endataziun stizzada,Унос обрисан,Запись удалена,エントリを削除しました,条目已删除,Item Eliminated
add_debitor_title,Add creditor template,Gläubiger-Vorlage hinzufügen,Gläubiger-Vorlag derzue,Aggiungi modello creditore,Ajouter un modèle de créancier,Agiuntar model da creditur,Додај шаблон повериоца,Добавить шаблон кредитора,債権者テンプレートを追加,添加债权人模板,Add Creditor Skin
add_creditor_title,Add debtor template,Schuldner-Vorlage hinzufügen,Schuldner-Vorlag derzue,Aggiungi modello debitore,Ajouter un modèle de débiteur,Agiuntar model da debitur,Додај шаблон дужника,Добавить шаблон должника,債務者テンプレートを追加,添加债务人模板,Add Debtor Skin
manage_debitors,Creditor templates,Gläubiger-Vorlagen,Gläubiger-Vorlage,Modelli creditori,Modèles de créanciers,Models da creditur,Шаблони поверилаца,Шаблоны кредиторов,債権者テンプレート,债权人模板,Creditor Skins
manage_creditors,Debtor templates,Schuldner-Vorlagen,Schuldner-Vorlage,Modelli debitori,Modèles de débiteurs,Models da debitur,Шаблони дужника,Шаблоны должников,債務者テンプレート,债务人模板,Debtor Skins
entries_count,{n} entries,{n} Einträge,{n} Einträg,{n} voci,{n} entrées,{n} endataziuns,{n} унос(а),{n} записей,{n}件のエントリ,{n}个条目,{n} Items in Locker
splash_title,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ,BillHQ
splash_tagline,"your bills, handled.","deine Rechnungen, erledigt.","dini Rächnige, erledigt.","le tue fatture, gestite.","vos factures, gérées.","tes quints, manegià.","ваши рачуни, сређени.","ваши счета, улажены.","請求書、管理完了。","你的账单，搞定。","your quests, clutched."
bills_search_placeholder,Search bills...,Rechnungen suchen...,Rächnige sueche...,Cerca fatture...,Rechercher factures...,Tschertgar quints...,Претражи рачуне...,Поиск счетов...,請求書を検索...,搜索账单...,Search Quests...
menu_scan_bill,Scan Bill,Rechnung scannen,Rächnig scanne,Scansiona fattura,Scanner une facture,Scannar il quint,Скенирај рачун,Сканировать счёт,請求書スキャン,扫描账单,Scan for Loot
scan_bill_title,Scan Bill,Rechnung scannen,Rächnig scanne,Scansiona fattura,Scanner une facture,Scannar il quint,Скенирај рачун,Сканировать счёт,請求書スキャン,扫描账单,Scan for Loot
btn_load_qr,LOAD QR,QR LADEN,QR LADE,CARICA QR,CHARGER QR,CHARGIAR QR,УЧИТАЈ QR,ЗАГРУЗИТЬ QR,QR読み込み,加载二维码,Loot QR from File
btn_scan_qr,SCAN QR,QR SCANNEN,QR SCANNE,SCANSIONA QR,SCANNER QR,SCANNAR QR,СКАНИРАЈ QR,СКАНИРОВАТЬ QR,QRスキャン,扫描二维码,Scan QR with Cam
scan_processing,Processing...,Verarbeiten...,Verarbeite...,Elaborazione...,Traitement...,Elavurar...,Обрада...,Обработка...,処理中...,处理中...,Looting...
scan_no_qr,No QR code found,Kein QR-Code gefunden,Kei QR-Code gfunde,Nessun QR trovato,Aucun QR trouvé,Nagin QR chattà,QR код није пронађен,QR-код не найден,QRコードが見つかりません,未找到二维码,No Loot Found
scan_not_swiss,Not a Swiss QR bill,Keine Schweizer QR-Rechnung,Kei Schwiizer QR-Rächnig,Non è una fattura QR svizzera,Pas une facture QR suisse,Nagin quint QR svizzer,Није швајцарски QR рачун,Не швейцарский QR-счёт,スイスのQR請求書ではありません,不是瑞士QR账单,Not Valid Swiss Loot
search_no_results,No results found,Keine Ergebnisse gefunden,Kei Ergebnis gfunde,Nessun risultato trovato,Aucun résultat trouvé,Nagins resultats chattas,Нема резултата,Результатов не найдено,結果が見つかりません,未找到结果,No Quests found
